"","labels","tcdiff","twopath","density","mutual","balance","ctri","cycle4","idegreesquare","intransitive","simmelianties","nearsimmelian","simmelian","odegreesquare","diff_degree_pop","sum_degree_pop","istar2","istar3","ostar2","ostar3"
"1",1,369.140625,675.000000000001,0.266666666666667,15,67.5,316.40625,791.015625000001,74.2021276595745,299.112783303123,0,1011.24156605114,0,88.5638297872341,-14.3617021276596,162.765957446809,267.1875,1318.359375,70.3125000000001,791.015625000001
"2",1,-531.34110787172,826.530612244898,0.155555555555556,0,0,531.34110787172,1707.88213244482,63.012729844413,377.290693159497,0,0,0,80.1980198019802,-17.1852899575672,143.210749646393,165.30612244898,1859.69387755102,0,265.67055393586
"3",1,414.770141101502,694.970414201184,0.288888888888889,17.3076923076923,38.0769230769231,248.862084660901,1148.59423689647,81.5436241610739,325.573655159359,0,1397.77844333855,0,94.0887971089314,-12.5451729478575,175.632421270005,311.538461538462,1327.26445152481,155.769230769231,1119.87938097406
"4",1,78.7172011661809,551.020408163266,0.233333333333333,21.4285714285714,81.4285714285715,78.7172011661809,0,88.2059800664452,285.445481430333,0,0,0,73.2558139534884,14.9501661129568,161.461794019934,348.979591836735,1102.04081632653,165.30612244898,236.151603498543
"5",1,290.339098771052,742.899408284024,0.288888888888889,20.7692307692308,55.3846153846154,331.816112881202,574.297118448234,81.5436241610739,364.332423630711,0,1397.77844333855,0,89.9070727929789,-8.36344863190502,171.450696954053,311.538461538462,1244.31042330451,119.822485207101,829.540282203005
"6",1,531.418574136172,695.567867036012,0.211111111111111,9.47368421052632,18.9473684210526,212.567429654469,0,72.2270552414094,281.977436476496,0,0,0,118.029578077425,-45.8025228360157,190.256633318834,246.814404432133,2550.80915585363,44.8753462603879,2338.24172619916
"7",1,531.34110787172,795.535714285714,0.311111111111111,16.0714285714286,32.1428571428571,365.297011661808,1814.62476572262,92.1292083712466,356.301141662958,82.7190330684927,0,1102.82567544667,92.1292083712466,0,184.258416742493,371.938775510204,1195.51749271137,247.959183673469,929.846938775511
"8",1,298.879373177843,723.214285714286,0.311111111111111,9.64285714285714,19.2857142857143,332.088192419825,1174.16896605581,82.9162875341219,363.427164496217,0,0,0,88.4440400363968,-5.52775250227481,171.360327570519,320.280612244898,1129.09985422741,165.30612244898,697.385204081633
"9",1,444.9462890625,735.64453125,0.355555555555556,19.6875,42.1875,266.9677734375,1188.84086608887,80.4732658959538,379.793025677374,0,1911.504001453,0,87.7890173410405,-7.3157514450867,168.262283236994,308.49609375,978.8818359375,174.0234375,778.656005859375
"10",1,479.244928625095,686.157024793389,0.244444444444444,8.18181818181819,24.5454545454546,205.390683696469,840.23461512192,91.3533834586467,296.661305561313,0,0,0,77.5119617224881,13.8414217361586,168.865345181135,368.181818181819,1163.88054094666,167.355371900827,410.781367392938
"11",1,273.375,789.750000000001,0.222222222222222,9,18,273.375,1230.1875,71.2800000000001,360.173190667872,0,0,0,103.68,-32.4,174.96,243,2004.75,40.5,1913.625
"12",1,297,747,0.333333333333333,21,36,243,1620,86.7272727272727,417.518181818182,0,1093.5,0,81.8181818181818,4.90909090909091,168.545454545455,342,945,225,567
"13",1,421.875000000001,646.875,0.266666666666667,18.75,52.5,158.203125,197.75390625,78.9893617021277,299.112783303123,0,2022.48313210228,0,86.1702127659575,-7.18085106382979,165.159574468085,295.3125,1265.625,126.5625,738.281250000001
"14",1,539.245500123285,658.412098298678,0.255555555555555,7.82608695652174,19.5652173913044,239.66466672146,937.818261083975,91.2567438908284,270.732581683642,0,0,0,91.2567438908284,0,182.513487781657,367.485822306239,1437.98800032876,199.054820415879,838.82633352511
"15",1,316.40625,745.312500000001,0.266666666666667,7.5,22.5,316.40625,1384.27734375,83.7765957446809,350.389260440801,0,0,0,76.5957446808511,7.18085106382979,160.372340425532,323.4375,1054.6875,154.6875,316.40625
"16",1,419.904,712.800000000001,0.277777777777778,3.6,7.2,233.28,1175.7312,90.496551724138,333.108677419933,0,0,0,81.5586206896552,8.93793103448276,172.055172413793,362.88,1119.744,194.4,513.216000000001
"17",1,370.370370370371,777.777777777778,0.3,20,56.6666666666667,370.370370370371,1358.02469135803,83.3333333333334,371.038239200932,0,1175.77895355673,0,93.1372549019608,-9.80392156862746,176.470588235294,322.222222222222,1259.25925925926,188.888888888889,1037.03703703704
"18",1,632.812500000001,646.875,0.266666666666667,15,56.25,158.203125,593.261718750001,88.5638297872341,264.928465211337,0,1011.24156605114,0,90.9574468085107,-2.3936170212766,179.521276595745,351.5625,1371.09375,168.75,949.218750000001
"19",1,497.724169321803,671.005917159764,0.288888888888889,6.92307692307693,13.8461538461539,165.908056440601,574.297118448234,87.8162106350026,310.070147770818,0,0,0,91.9979349509551,-4.18172431595251,179.814145585958,347.485207100592,1285.78743741466,179.733727810651,746.586253982704
"20",1,185.185185185185,655.555555555556,0.3,16.6666666666667,46.6666666666667,259.259259259259,740.740740740741,79.4117647058824,348.775944848876,0,587.889476778366,0,81.3725490196079,-1.96078431372548,160.78431372549,300,1037.03703703704,133.333333333333,518.518518518519
"21",1,432,684,0.333333333333333,18,27,189,891,81.8181818181818,351.245454545454,0,729,0,90,-8.18181818181819,171.818181818182,315,1080,171,810
"22",1,539.201183431953,635.059171597634,0.288888888888889,13.8461538461539,38.0769230769231,165.908056440601,574.297118448234,91.9979349509551,279.063132993736,0,2096.66766500783,0,85.7253484770264,6.27258647392875,177.723283427981,371.449704142012,1161.35639508421,239.644970414201,622.155211652254
"23",1,299.580833401825,780.907372400757,0.255555555555555,11.7391304347826,23.4782608695652,239.66466672146,1172.27282635497,80.9742938749604,379.025614357099,0,0,0,88.6861313868614,-7.71183751190098,169.660425261822,306.238185255199,1378.0718336484,107.18336483932,898.742500205475
"24",1,456.247155211653,635.059171597634,0.288888888888889,10.3846153846154,31.1538461538462,165.908056440601,717.871398060293,83.6344863190501,294.566640382277,0,698.889221669276,0,94.0887971089314,-10.4543107898813,177.723283427982,323.520710059172,1327.26445152481,167.751479289941,871.017296313155
"25",1,425.134859308938,650.692520775624,0.211111111111111,9.47368421052632,42.6315789473684,106.283714827234,503.449175497426,72.2270552414094,281.977436476496,0,0,0,79.273597216181,-7.04654197477164,151.50065245759,246.814404432133,1381.68829275405,44.8753462603879,531.418574136172
"26",1,410.781367392938,686.157024793389,0.244444444444444,16.3636363636364,45,136.927122464313,560.15641008128,88.585099111415,315.800744629784,0,3032.93243426361,0,77.5119617224881,11.0731373889269,166.097060833903,351.446280991736,1163.88054094666,167.355371900827,410.781367392938
"27",1,157.434402332362,661.224489795919,0.233333333333333,8.57142857142857,30,157.434402332362,674.718867138693,79.2358803986712,326.223407348952,0,0,0,85.2159468438539,-5.98006644518273,164.451827242525,293.877551020408,1416.90962099126,110.204081632653,551.020408163266
"28",1,222.222222222222,655.555555555556,0.3,10,16.6666666666667,222.222222222222,493.827160493828,79.4117647058824,348.775944848876,0,0,0,93.1372549019608,-13.7254901960784,172.549019607843,300,1259.25925925926,133.333333333333,1037.03703703704
"29",1,419.904,648,0.277777777777778,10.8,36,186.624,671.846400000001,77.0896551724138,300.610269866769,0,0,0,83.7931034482759,-6.70344827586207,160.88275862069,285.12,1166.4,103.68,653.184000000001
"30",1,425.134859308938,673.130193905818,0.211111111111111,14.2105263157895,47.3684210526316,318.851144481703,0,89.8434101783385,270.228376623309,0,6045.8685271003,0,89.8434101783385,0,179.686820356677,359.002770083103,1700.53943723575,157.063711911357,743.986003790641
"31",1,299.580833401825,689.035916824197,0.255555555555555,15.6521739130435,35.2173913043478,239.66466672146,234.454565270994,78.4036813709934,324.879098020371,0,1232.36987585662,0,96.3979688987624,-17.994287527769,174.801650269756,290.926275992439,1557.82033368949,107.18336483932,1018.57483356621
"32",1,296.296296296296,722.222222222223,0.3,6.66666666666667,10,185.185185185185,1358.02469135803,81.3725490196079,385.879768768969,0,0,0,85.2941176470589,-3.92156862745098,166.666666666667,311.111111111111,1111.11111111111,144.444444444445,629.62962962963
"33",1,0,734.693877551021,0.233333333333333,8.57142857142857,17.1428571428571,393.586005830904,1012.07830070804,91.1960132890366,356.806851787916,0,0,0,76.2458471760798,14.9501661129568,167.441860465116,367.346938775511,1180.75801749271,146.938775510204,314.868804664723
"34",1,539.201183431953,730.917159763314,0.288888888888889,13.8461538461539,31.1538461538462,248.862084660901,1005.01995728441,81.5436241610739,325.573655159359,110.333229034471,0,1720.3426994936,98.2705214248839,-16.72689726381,179.814145585958,311.538461538462,1410.21847974511,119.822485207101,995.448338643606
"35",1,697.385204081633,764.540816326531,0.311111111111111,12.8571428571429,19.2857142857143,199.252915451895,853.941066222408,84.7588717015469,334.923073163181,0,498.050305040431,0,95.8143767060965,-11.0555050045496,180.573248407643,330.612244897959,1261.93513119534,165.30612244898,1029.47339650146
"36",1,875.000000000001,500,0.2,15,70,0,0,92.3076923076924,165.411237785016,0,0,0,88.4615384615385,3.84615384615385,180.769230769231,375,1750,150,750.000000000001
"37",1,821.562734785877,686.157024793389,0.244444444444444,12.2727272727273,40.9090909090909,342.317806160782,1400.3910252032,99.6582365003418,229.673268821661,0,3032.93243426361,0,85.8168147641833,13.8414217361586,185.475051264525,418.388429752067,1369.27122464313,267.768595041323,547.708489857251
"38",1,259.259259259259,700,0.3,6.66666666666667,6.66666666666667,222.222222222222,1481.48148148148,83.3333333333334,371.038239200932,0,0,0,83.3333333333334,0,166.666666666667,322.222222222222,1074.07407407407,177.777777777778,555.555555555556
"39",1,314.868804664723,789.795918367348,0.233333333333333,4.28571428571429,8.57142857142857,393.586005830904,1686.79716784673,73.2558139534884,346.612370308261,0,0,0,88.2059800664452,-14.9501661129568,161.461794019934,257.142857142857,1495.62682215744,55.1020408163266,629.737609329447
"40",1,699.840000000001,686.880000000001,0.277777777777778,10.8,25.2,93.3120000000001,335.923200000001,81.5586206896552,292.485667978478,0,0,0,92.7310344827587,-11.1724137931035,174.289655172414,311.04,1353.024,155.52,933.120000000001
"41",1,78.7172011661809,900.000000000001,0.233333333333333,8.57142857142857,12.8571428571429,551.020408163266,3036.23490212412,88.2059800664452,417.973740665844,0,0,0,82.2259136212625,5.98006644518273,170.431893687708,348.979591836735,1338.19241982507,165.30612244898,551.020408163266
"42",1,316.40625,717.187500000001,0.266666666666667,11.25,26.25,210.9375,1384.27734375,74.2021276595745,350.389260440801,0,0,0,90.9574468085107,-16.7553191489362,165.159574468085,267.1875,1371.09375,70.3125000000001,738.281250000001
"43",1,0,800.000000000001,0.2,15,55,500.000000000001,625.000000000001,76.923076923077,356.270358306189,0,0,0,84.6153846153847,-7.69230769230769,161.538461538462,275,1625,50,375
"44",1,359.49700008219,673.724007561437,0.255555555555555,11.7391304347826,27.3913043478261,179.748500041095,1172.27282635497,75.8330688670264,315.854678630916,0,0,0,104.109806410663,-28.276737543637,179.94287527769,275.614366729679,1737.56883373059,76.5595463137997,1557.82033368949
"45",1,324,729,0.333333333333333,12,12,270,1215,85.0909090909091,391.009090909091,0,729,0,90,-4.90909090909092,175.090909090909,333,1080,216,810
"46",1,-157.434402332362,753.061224489797,0.233333333333333,4.28571428571429,12.8571428571429,393.586005830904,1349.43773427739,73.2558139534884,387.39029622688,0,0,0,76.2458471760798,-2.99003322259136,149.501661129568,257.142857142857,1180.75801749271,55.1020408163266,314.868804664723
"47",1,370.370370370371,755.555555555556,0.3,10,20,259.259259259259,1604.93827160494,79.4117647058824,378.459003984951,0,0,0,85.2941176470589,-5.88235294117646,164.705882352941,300,1111.11111111111,133.333333333333,666.666666666667
"48",1,273.854244928626,686.157024793389,0.244444444444444,0,0,205.390683696469,560.15641008128,83.0485304169515,325.37046416402,0,0,0,88.585099111415,-5.53656869446344,171.633629528366,317.975206611571,1437.73478587528,117.148760330579,684.635612321564
"49",1,290.339098771052,694.970414201184,0.288888888888889,13.8461538461539,34.6153846153846,207.385070550751,861.445677672351,77.3618998451214,356.580669936441,0,698.889221669276,0,81.5436241610739,-4.18172431595251,158.905524006195,287.573964497042,1078.40236686391,107.840236686391,539.201183431953
